epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786949135.665391380	33	0	258	41	0	20
1786949135.888786618	33	0	258	41	0	20
1786949136.130218154	33	0	258	41	0	20
1786949136.353408683	33	0	258	41	0	20
1786949136.579513887	33	0	258	41	0	20
1786949136.807522602	33	0	258	41	0	20
1786949137.030503490	33	0	258	41	0	20
1786949137.253419039	33	0	258	41	0	20
1786949137.481536119	33	0	258	41	0	20
1786949137.704463172	33	0	258	41	0	20
1786949137.927843272	33	0	258	41	0	20
1786949138.153578938	33	0	258	41	0	20
1786949138.376218456	33	0	258	41	0	20
1786949138.608642329	33	0	258	41	0	20
1786949138.832882023	33	0	258	41	0	20
1786949139.059531240	33	0	258	41	0	20
1786949139.282767409	33	0	258	41	0	20
1786949139.505041270	33	0	258	41	2304	20
1786949139.728445278	33	0	258	41	0	20
1786949139.963385764	33	0	258	41	0	20
1786949140.186101609	33	0	258	41	0	20
1786949140.409887874	33	2304	258	41	0	20
1786949140.636576353	33	0	258	41	0	20
1786949140.860278774	33	0	258	41	0	20
1786949141.083420510	33	0	258	41	0	20
1786949141.306279270	33	0	258	41	0	20
1786949141.530099218	33	0	258	41	0	20
1786949141.760536849	33	0	258	41	0	20
1786949141.986968645	33	0	258	41	0	20
1786949142.209949195	33	0	258	41	0	20
1786949142.432630758	33	0	258	41	0	20
1786949142.663051005	33	0	258	41	0	20
1786949142.886081075	33	0	258	41	0	20
1786949143.108449922	33	0	258	41	0	20
1786949143.331589395	33	0	258	41	0	20
1786949143.553863205	33	0	258	41	0	20
1786949143.778542884	33	0	258	41	0	20
1786949144.005088200	33	0	258	41	0	20
1786949144.228575314	33	0	258	41	0	20
1786949144.455827408	33	0	258	41	0	20
1786949144.683021284	33	0	258	41	0	20
1786949144.917299466	33	0	258	41	0	20
1786949145.143687047	33	0	258	41	0	20
1786949145.366065768	33	0	258	41	0	20
1786949145.593112694	33	0	258	41	0	20
1786949145.820079129	33	0	258	41	0	20
1786949146.042264359	33	0	258	41	0	20
1786949146.271066569	33	0	258	41	0	20
1786949146.494021723	33	0	258	41	0	20
1786949146.716524716	33	0	258	41	0	20
1786949146.940168680	33	0	258	41	0	20
1786949147.162414824	33	0	258	41	0	20
1786949147.385563320	33	0	258	41	0	20
1786949147.608219992	33	0	258	41	0	20
1786949147.831223025	33	0	258	41	0	20
1786949148.061983092	33	0	258	41	0	20
1786949148.284354054	33	0	258	41	0	20
1786949148.511498440	33	0	258	41	0	20
1786949148.733874510	33	0	258	41	0	20
1786949148.957768671	33	0	258	41	0	20
1786949149.180676446	33	0	258	41	0	20
1786949149.403513268	33	0	258	41	0	20
1786949149.630572695	33	0	258	41	0	20
1786949149.852961967	33	0	258	41	0	20
1786949150.078553097	33	0	258	41	0	20
1786949150.309251946	33	0	258	41	0	20
1786949150.535477554	33	0	258	41	0	20
1786949150.758698305	33	0	258	41	0	20
1786949150.985189426	33	0	258	41	0	20
1786949151.216381080	33	0	258	41	0	20
1786949151.439650176	33	0	258	41	0	20
1786949151.662190849	33	0	258	41	0	20
1786949151.885455000	33	0	258	41	0	20
1786949152.107972774	33	0	258	41	0	20
1786949152.336982071	33	0	258	41	0	20
1786949152.563902367	33	0	258	41	0	20
1786949152.787201727	33	0	258	41	0	20
1786949153.014925647	33	0	258	41	0	20
1786949153.237893724	33	0	258	41	0	20
