epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786948928.677244213	33	0	258	41	0	20
1786948928.800564800	33	0	258	41	0	20
1786948928.926679083	33	0	258	41	0	20
1786948929.057502109	33	0	258	41	0	20
1786948929.188022615	33	0	258	41	0	20
1786948929.318909908	33	0	258	41	0	20
1786948929.449346181	33	0	258	41	0	20
1786948929.572762991	33	0	258	41	0	20
1786948929.696339993	33	0	258	41	0	20
1786948929.830636492	33	0	258	41	0	20
1786948929.964572634	33	0	258	41	0	20
1786948930.087577998	33	0	258	41	0	20
1786948930.220969302	33	0	258	41	0	20
1786948930.358468736	33	0	258	41	0	20
1786948930.482004057	33	0	258	41	0	20
1786948930.608118781	33	0	258	41	0	20
1786948930.735027317	33	0	258	41	0	20
1786948930.857387161	33	0	258	41	0	20
1786948930.990845766	33	0	258	41	0	20
1786948931.120835611	33	0	258	41	0	20
1786948931.247586355	33	0	258	41	0	20
1786948931.377054358	33	0	258	41	0	20
1786948931.504819217	33	0	258	41	0	20
1786948931.628407953	33	0	258	41	0	20
1786948931.750756377	33	0	258	41	0	20
1786948931.873712294	33	0	258	41	0	20
1786948932.000207635	33	0	258	41	0	20
1786948932.123736266	33	0	258	41	0	20
1786948932.246298483	33	0	258	41	0	20
1786948932.373193486	33	0	258	41	0	20
1786948932.495688260	33	0	258	41	0	20
1786948932.623051320	33	0	258	41	0	20
1786948932.748922061	33	0	258	41	0	20
1786948932.878839054	33	0	258	41	0	20
1786948933.005112127	33	0	258	41	0	20
1786948933.131285032	33	0	258	41	0	20
1786948933.254643059	33	0	258	41	0	20
1786948933.385089587	33	0	258	41	0	20
1786948933.508091798	33	0	258	41	0	20
1786948933.639340162	33	0	258	41	0	20
1786948933.761378642	33	0	258	41	0	20
1786948933.885293527	33	0	258	41	0	20
1786948934.012320907	33	0	258	41	0	20
1786948934.135700306	33	0	258	41	0	20
1786948934.272321796	33	2304	258	41	2304	20
1786948934.409209008	33	0	258	41	0	20
1786948934.531979540	33	0	258	41	0	20
1786948934.662264161	33	0	258	41	0	20
1786948934.788833895	33	0	258	41	0	20
1786948934.919791480	33	0	258	41	0	20
1786948935.042529007	33	0	258	41	0	20
1786948935.165256824	33	0	258	41	0	20
1786948935.292541421	33	0	258	41	0	20
1786948935.418929344	33	0	258	41	0	20
1786948935.561428200	33	0	258	41	0	20
1786948935.691260907	33	0	258	41	0	20
1786948935.813407422	33	0	258	41	0	20
1786948935.939456466	33	0	258	41	0	20
1786948936.062943119	33	0	258	41	0	20
1786948936.185551961	33	0	258	41	0	20
1786948936.312519329	33	0	258	41	0	20
1786948936.434873573	33	0	258	41	0	20
1786948936.562121105	33	0	258	41	0	20
1786948936.696165377	33	0	258	41	0	20
1786948936.818679745	33	0	258	41	0	20
1786948936.940812661	33	0	258	41	0	20
1786948937.064218842	33	0	258	41	0	20
1786948937.190688327	33	0	258	41	0	20
1786948937.321372246	33	0	258	41	0	20
1786948937.444231608	33	0	258	41	0	20
1786948937.578515166	33	0	258	41	0	20
1786948937.700690039	33	0	258	41	0	20
1786948937.826789217	33	0	258	41	0	20
1786948937.950095423	33	0	258	41	0	20
1786948938.072680051	33	0	258	41	0	20
1786948938.195418513	33	0	258	41	0	20
1786948938.318596632	33	0	258	41	0	20
1786948938.441554406	33	0	258	41	0	20
1786948938.564918263	33	0	258	41	0	20
1786948938.687591697	33	0	258	41	0	20
1786948938.810628298	33	0	258	41	0	20
1786948938.936677179	33	0	258	41	0	20
1786948939.063619251	33	0	258	41	2304	20
1786948939.186712816	33	0	258	41	0	20
1786948939.309722044	33	0	258	41	0	20
1786948939.432248511	33	0	258	41	0	20
1786948939.555450827	33	0	258	41	0	20
1786948939.682065621	33	0	258	41	0	20
1786948939.808186521	33	0	258	41	0	20
1786948939.931345828	33	0	258	41	0	20
1786948940.053629955	33	0	258	41	0	20
1786948940.180062141	33	0	258	41	0	20
1786948940.303156016	33	0	258	41	0	20
1786948940.426571725	33	0	258	41	0	20
1786948940.552760474	33	0	258	41	0	20
1786948940.676254204	33	0	258	41	0	20
1786948940.802602078	33	0	258	41	0	20
1786948940.924612823	33	0	258	41	0	20
1786948941.047571968	33	0	258	41	0	20
1786948941.171181724	33	0	258	41	0	20
1786948941.304632743	33	0	258	41	0	20
1786948941.427723509	33	0	258	41	0	20
1786948941.554671463	33	0	258	41	0	20
1786948941.677728039	33	0	258	41	0	20
1786948941.799935052	33	0	258	41	0	20
1786948941.922368832	33	0	258	41	0	20
1786948942.044412844	33	0	258	41	0	20
1786948942.167590933	33	0	258	41	0	20
