epoch	left_pid	left_rxq	left_drops	right_pid	right_rxq	right_drops
1786948256.649014161	33	0	258	41	0	20
1786948256.770565250	33	0	258	41	0	20
1786948256.895642267	33	0	258	41	0	20
1786948257.017048793	33	0	258	41	0	20
1786948257.142167190	33	0	258	41	0	20
1786948257.266954164	33	0	258	41	0	20
1786948257.388205228	33	0	258	41	0	20
1786948257.512390572	33	0	258	41	0	20
1786948257.633766424	33	0	258	41	0	20
1786948257.758612020	33	0	258	41	0	20
1786948257.883668878	33	0	258	41	0	20
1786948258.009097054	33	0	258	41	0	20
1786948258.129972935	33	0	258	41	0	20
1786948258.251653313	33	0	258	41	0	20
1786948258.372919508	33	0	258	41	0	20
1786948258.497862440	33	0	258	41	0	20
1786948258.619294973	33	0	258	41	0	20
1786948258.745249958	33	0	258	41	0	20
1786948258.866459428	33	0	258	41	0	20
1786948258.990716557	33	0	258	41	0	20
1786948259.118546937	33	0	258	41	0	20
1786948259.243547268	33	0	258	41	0	20
1786948259.375597377	33	0	258	41	0	20
1786948259.496864466	33	0	258	41	0	20
1786948259.625682986	33	0	258	41	0	20
1786948259.746785466	33	0	258	41	0	20
1786948259.868236447	33	0	258	41	0	20
1786948259.989184837	33	0	258	41	0	20
1786948260.110268853	33	0	258	41	0	20
1786948260.231799114	33	0	258	41	0	20
1786948260.353041182	33	0	258	41	0	20
1786948260.478028459	33	0	258	41	0	20
1786948260.599467546	33	0	258	41	0	20
1786948260.720509223	33	0	258	41	0	20
1786948260.857467641	33	0	258	41	0	20
1786948260.979298970	33	0	258	41	0	20
1786948261.104540583	33	0	258	41	0	20
1786948261.225778545	33	0	258	41	0	20
1786948261.350908298	33	0	258	41	0	20
1786948261.475813269	33	0	258	41	2304	20
1786948261.597323096	33	0	258	41	0	20
1786948261.718645932	33	0	258	41	0	20
1786948261.840359295	33	0	258	41	0	20
1786948261.961525516	33	0	258	41	0	20
1786948262.083629716	33	0	258	41	0	20
1786948262.204469248	33	0	258	41	0	20
1786948262.333667557	33	0	258	41	0	20
1786948262.469327163	33	0	258	41	0	20
1786948262.590442818	33	0	258	41	0	20
1786948262.715422421	33	0	258	41	0	20
1786948262.837175313	33	0	258	41	0	20
1786948262.958935621	33	0	258	41	0	20
1786948263.087082430	33	0	258	41	0	20
1786948263.218896216	33	0	258	41	0	20
1786948263.344332940	33	0	258	41	2304	20
1786948263.468640565	33	0	258	41	0	20
1786948263.590124907	33	0	258	41	0	20
1786948263.711405252	33	0	258	41	0	20
1786948263.832372720	33	0	258	41	0	20
1786948263.953557223	33	0	258	41	0	20
1786948264.074677438	33	0	258	41	0	20
1786948264.196112262	33	0	258	41	0	20
1786948264.317462228	33	0	258	41	0	20
1786948264.438855362	33	0	258	41	0	20
1786948264.563605560	33	0	258	41	0	20
1786948264.691644683	33	0	258	41	0	20
1786948264.823818765	33	0	258	41	0	20
1786948264.950629692	33	0	258	41	0	20
1786948265.071696696	33	0	258	41	0	20
1786948265.193756521	33	0	258	41	0	20
1786948265.315031232	33	0	258	41	0	20
1786948265.438485533	33	0	258	41	0	20
1786948265.560044333	33	0	258	41	0	20
1786948265.688035876	33	0	258	41	0	20
1786948265.813834781	33	0	258	41	0	20
1786948265.934979655	33	0	258	41	2304	20
1786948266.064295768	33	0	258	41	0	20
1786948266.185186015	33	0	258	41	0	20
1786948266.310243942	33	0	258	41	0	20
1786948266.437977753	33	0	258	41	0	20
1786948266.559463361	33	0	258	41	0	20
1786948266.683873228	33	0	258	41	0	20
1786948266.805627895	33	0	258	41	0	20
1786948266.926837538	33	0	258	41	0	20
1786948267.049298085	33	0	258	41	0	20
1786948267.170543434	33	0	258	41	0	20
1786948267.295298046	33	0	258	41	0	20
1786948267.417016057	33	0	258	41	0	20
1786948267.538468153	33	0	258	41	0	20
1786948267.659699059	33	0	258	41	0	20
1786948267.783720797	33	0	258	41	0	20
1786948267.912769552	33	0	258	41	0	20
1786948268.033948337	33	0	258	41	0	20
1786948268.154867915	33	0	258	41	0	20
1786948268.276532676	33	0	258	41	0	20
1786948268.397749885	33	0	258	41	0	20
1786948268.518925029	33	0	258	41	0	20
1786948268.640446072	33	0	258	41	0	20
1786948268.761722070	33	0	258	41	0	20
1786948268.887005108	33	0	258	41	0	20
1786948269.009014495	33	0	258	41	0	20
1786948269.130307934	33	0	258	41	0	20
1786948269.260810960	33	0	258	41	0	20
1786948269.383450106	33	0	258	41	0	20
1786948269.504590721	33	0	258	41	0	20
1786948269.625885616	33	0	258	41	0	20
1786948269.751120938	33	0	258	41	0	20
1786948269.875717343	33	0	258	41	0	20
1786948269.997094137	33	0	258	41	0	20
1786948270.122523601	33	0	258	41	0	20
1786948270.243459293	33	0	258	41	0	20
1786948270.368043714	33	0	258	41	0	20
1786948270.489718436	33	0	258	41	0	20
1786948270.611099258	33	0	258	41	0	20
1786948270.732553418	33	0	258	41	0	20
1786948270.854211015	33	0	258	41	0	20
1786948270.983033074	33	0	258	41	0	20
1786948271.108226087	33	0	258	41	0	20
1786948271.229545358	33	0	258	41	0	20
1786948271.354607712	33	0	258	41	0	20
1786948271.475954936	33	0	258	41	0	20
1786948271.601234562	33	0	258	41	0	20
1786948271.722750093	33	0	258	41	0	20
1786948271.843904693	33	0	258	41	0	20
1786948271.965352266	33	0	258	41	0	20
1786948272.093511092	33	0	258	41	0	20
1786948272.218703621	33	0	258	41	0	20
1786948272.343977297	33	0	258	41	0	20
1786948272.468994359	33	0	258	41	0	20
1786948272.593467470	33	0	258	41	0	20
1786948272.714468957	33	0	258	41	0	20
1786948272.835567792	33	0	258	41	0	20
1786948272.961176588	33	0	258	41	0	20
1786948273.086541204	33	0	258	41	0	20
1786948273.214491465	33	0	258	41	0	20
1786948273.335996784	33	0	258	41	0	20
1786948273.464880781	33	0	258	41	0	20
1786948273.586325309	33	0	258	41	0	20
1786948273.707702814	33	0	258	41	0	20
1786948273.828895545	33	0	258	41	0	20
1786948273.954204824	33	0	258	41	0	20
1786948274.075973645	33	0	258	41	0	20
1786948274.197398528	33	0	258	41	0	20
1786948274.321870007	33	0	258	41	0	20
1786948274.443488910	33	0	258	41	0	20
1786948274.564436886	33	0	258	41	0	20
1786948274.693616150	33	0	258	41	0	20
1786948274.814886556	33	0	258	41	0	20
1786948274.936401903	33	2304	258	41	0	20
1786948275.057999896	33	0	258	41	0	20
1786948275.179192816	33	0	258	41	0	20
1786948275.300593971	33	0	258	41	0	20
1786948275.426296666	33	0	258	41	0	20
1786948275.551015343	33	0	258	41	0	20
1786948275.676323103	33	0	258	41	0	20
1786948275.797254027	33	0	258	41	0	20
1786948275.919711632	33	0	258	41	0	20
1786948276.043826841	33	0	258	41	0	20
